,acceleration__number_crossing_m__m_1,"acceleration__agg_linear_trend__attr_""intercept""__chunk_len_5__f_agg_""min""",acceleration__range_count__max_1000000000000.0__min_0,acceleration__approximate_entropy__m_2__r_0.7,"acceleration__fft_coefficient__attr_""abs""__coeff_30","acceleration__augmented_dickey_fuller__attr_""teststat""__autolag_""AIC""","acceleration__fft_coefficient__attr_""abs""__coeff_0","acceleration__agg_autocorrelation__f_agg_""var""__maxlag_40","acceleration__fft_coefficient__attr_""abs""__coeff_36","acceleration__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.4"
10,6.0,-1.2143142857142857,45.0,0.2737984783036491,1.5836808944523184,-4.781484570060742,45.843,0.3375606719352935,1.3608805751543998,0.5625312499999999
11,6.0,-1.075447368421053,46.0,0.2910651691563772,2.039176119908346,-4.568629999063587,16.77,0.3425108941690869,3.020201810103456,0.3891764705882353
12,17.0,-0.8933978174603175,138.0,0.2018488093608725,6.020675989497761,-8.326573850471698,59.81,0.481040988241021,8.095656936961307,0.3212252252252252
13,8.0,-0.1673122923588039,121.0,0.2465971480115443,4.910934520525214,-5.896512565070686,61.806,0.1501657005250419,2.3786863214717955,0.0564578313253011
14,4.0,-0.1889344537815127,117.0,0.1654614979097259,1.866531237305876,-5.043631228009924,21.498,0.1077737923835378,2.6353920107474536,0.0391111111111111
15,5.0,-0.4099784946236559,68.0,0.1075321057337449,1.2272818132554135,-2.4818218967562644,24.119,0.4004625960451891,1.1754084736492234,0.1930727272727272
16,10.0,-0.699921768707483,106.0,0.1796799609315098,2.5580921228426763,-5.720201683888116,75.729,0.4057486240059863,2.4396356435884616,0.2095058823529412
17,10.0,-0.3662913533834586,195.0,0.2527605561144035,3.452338946990705,-6.649993349247885,44.945,0.38472613346243,7.025068350688384,0.031757281553398
18,4.0,-0.9014782608695652,34.0,0.2352654237032798,0.5616271200787895,-4.237370716812269,55.995000000000005,0.4271835578612425,1.1349553596192394,0.2094473684210526
19,6.0,-1.3222684210526312,43.0,0.2792926336741326,0.4235160288152786,-5.249763059324128,35.581999999999994,0.3256544766407911,1.1144815845642717,0.2990322580645161
20,5.0,-0.0645105820105822,61.0,0.1404789269607589,0.6158361944954671,-2.991134112102963,40.46299999999999,0.4140899058555916,1.2751011049115746,0.18918
21,6.0,-0.0494222222222222,33.0,0.4524439471037964,1.1163096915855122,-5.0871687981673155,26.305,0.2719644651430036,0.9026743748291968,0.1291428571428571
22,6.0,-1.3973804347826086,36.0,0.3207944676546372,2.7547656678974533,-6.191313264845325,81.957,0.3824641509974685,1.1962597585565715,0.2874444444444444
23,2.0,-0.3414502164502164,46.0,0.2534709779310518,0.1306419776819257,-5.457474113360571,4.005,0.1734251828116285,0.5279660318915513,0.0291351351351351
24,4.0,0.2448222222222221,39.0,0.5040753744196149,1.1163096915855122,-4.424286319560361,25.731,0.1494571835504982,0.9026743748291968,0.0987857142857142
25,8.0,-0.3586882591093117,69.0,0.2412964414659804,7.511269203212346,-5.964356860115428,9.233,0.2279080969661727,4.4039223208188245,0.0879
26,6.0,-0.928111111111111,45.0,0.3074008185116148,3.782650790120601,-4.848474964243257,14.191000000000004,0.3320428278045849,1.531929295070812,0.4461666666666666
27,8.0,-0.4139507692307692,65.0,0.2778835311631749,1.564689090784796,-4.832171089665544,40.343,0.1433107422886406,1.2455875253581905,0.1850930232558139
28,4.0,0.3456099999999998,55.0,0.1472432860531476,1.8438956768642212,-4.239535940433934,26.35299999999999,0.4263101049703433,0.833882563139094,0.2638604651162791
29,6.0,-0.358171052631579,89.0,0.1697917893856158,1.7184076201662506,-4.950997225650394,11.066,0.2370325207379939,4.965505937942281,0.006625
30,2.0,-1.3504916666666666,54.0,0.2171135357151323,1.530765982336505,-2.5282920166455805,2.8070000000000013,0.1541623553369945,0.9590000000000004,0.0504482758620689
31,2.0,-0.1392102102102102,145.0,0.2182167665247776,1.1582072353426232,-3.191063910299378,25.111,0.2430741215474655,0.5496319191671768,0.0206478873239436
32,2.0,-1.1538076923076923,38.0,0.0749735026673842,1.1163096915855122,-2.2880004912572027,16.651999999999997,0.4221609011842225,0.9026743748291968,0.0538499999999999
33,2.0,-0.3423133333333333,87.0,0.1588851503632573,0.3209318575809733,-2.978279967231867,15.384,0.2559229471239316,0.6865570520282309,0.032754716981132
